"Account","Flag","Check Number","Date","Payee","Category","Master Category","Sub Category","Memo","Outflow","Inflow","Cleared","Running Balance"
"Us Bank",,,09/18/2013,"Starting Balance","Income:Available this month","Income","Available this month",,$0.00,$2275.09,R,$2275.09
"Us Bank",,,09/18/2013,,"Income:Available this month","Income","Available this month","Balancing",$0.00,$37.24,R,$2312.33
"Us Bank",,,09/19/2013,"Download from usbank.com. Sqwiggle Inc.","Income:Available this month","Income","Available this month","Sqwiggle back pay",$0.00,$1783.36,R,$4095.69
"Us Bank",,,09/19/2013,"Download from usbank.com. HLU*HuluPlus 541HULU.COM/BILCA","Monthly Bills:Web Stuff","Monthly Bills","Web Stuff",,$7.99,$0.00,R,$4087.70
"Us Bank",,,09/19/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.25,$0.00,R,$4078.45
"Us Bank",,,09/20/2013,"Download from usbank.com. THE POSH BAGEL SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$6.10,$0.00,R,$4072.35
"Us Bank",,,09/20/2013,"Download from usbank.com. TRADER JOE'S #20SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.07,$0.00,R,$4063.28
"Us Bank",,,09/20/2013,"Download from usbank.com. PAYPAL","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.99,$0.00,R,$4053.29
"Us Bank",,,09/20/2013,"Download from usbank.com. LYFT 855-865-9553CA","Everyday Expenses:Transportation","Everyday Expenses","Transportation",,$14.00,$0.00,R,$4039.29
"Us Bank",,,09/20/2013,"Download from usbank.com. LYFT 855-865-9553CA","Everyday Expenses:Transportation","Everyday Expenses","Transportation",,$16.00,$0.00,R,$4023.29
"Us Bank",,,09/20/2013,"Download from usbank.com. WOK SHOP CAFE INSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$19.50,$0.00,R,$4003.79
"Us Bank",,,09/20/2013,"Download from usbank.com. WALGREENS 1300 BSAN FRANCISCCA","Everyday Expenses:Household Goods","Everyday Expenses","Household Goods",,$21.75,$0.00,R,$3982.04
"Us Bank",,,09/20/2013,"Download from usbank.com. AT&T","Monthly Bills:Cell Phone","Monthly Bills","Cell Phone",,$100.58,$0.00,R,$3881.46
"Us Bank",,,09/23/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$2.75,$0.00,R,$3878.71
"Us Bank",,,09/23/2013,"Download from usbank.com. COFFEE BAR - BRYSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$3.00,$0.00,R,$3875.71
"Us Bank",,,09/23/2013,"Download from usbank.com. COFFEE BAR - BRYSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$3.00,$0.00,R,$3872.71
"Us Bank",,,09/23/2013,"Download from usbank.com. SUTTER FINE FOODSAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$5.75,$0.00,R,$3866.96
"Us Bank",,,09/23/2013,"Download from usbank.com. APL*APPLE ITUNES866-712-7753CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$5.98,$0.00,R,$3860.98
"Us Bank",,,09/23/2013,"Download from usbank.com. CUP A JOES COFFESAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$7.50,$0.00,R,$3853.48
"Us Bank",,,09/23/2013,"Download from usbank.com. COFFEE BAR - BRYSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$7.89,$0.00,R,$3845.59
"Us Bank",,,09/23/2013,"Download from usbank.com. PINKBERRY SAN FRSAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$9.90,$0.00,R,$3835.69
"Us Bank",,,09/23/2013,"Download from usbank.com. SMALL FOODS SAN FRANCISCCA","Everyday Expenses:Groceries","Everyday Expenses","Groceries",,$10.97,$0.00,R,$3824.72
"Us Bank",,,09/23/2013,"Download from usbank.com. THE IRON CACTUS SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$11.91,$0.00,R,$3812.81
"Us Bank",,,09/23/2013,"Download from usbank.com. GROUPON INC 877-788-7858IL","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$12.00,$0.00,R,$3800.81
"Us Bank",,,09/23/2013,"Download from usbank.com. FLY SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$13.00,$0.00,R,$3787.81
"Us Bank",,,09/23/2013,"Download from usbank.com. SEAMLESS 800-905-9322NY","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$22.29,$0.00,R,$3765.52
"Us Bank",,,09/23/2013,"Download from usbank.com. FLY SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$23.00,$0.00,R,$3742.52
"Us Bank",,,09/23/2013,"Download from usbank.com. SQ *JAMES L CHENSan FranciscCA","Everyday Expenses:Medical","Everyday Expenses","Medical",,$25.00,$0.00,R,$3717.52
"Us Bank",,,09/23/2013,"Download from usbank.com. MOULIN CAFE/887 SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$26.03,$0.00,R,$3691.49
"Us Bank",,,09/23/2013,"Download from usbank.com. APPLE STORE #R0SAN FRANCISCCA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$31.54,$0.00,R,$3659.95
"Us Bank",,,09/23/2013,"Download from usbank.com. APL*APPLE ONLINE800-676-2775CA","Everyday Expenses:Spending Money","Everyday Expenses","Spending Money",,$42.41,$0.00,R,$3617.54
